Name,优先级,截止日期,描述,状态,相关文档,负责人
【功能2】设计向量数据库schema存储习惯记忆,高,,设计向量数据库的schema，用于存储和检索习惯记忆，支持语义搜索和模式识别,进行中,"记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21), 【排功能】agent deliver功能分解大集合 (https://www.notion.so/agent-deliver-2f5670f56479807c9297fd3a8ea0cf56?pvs=21), ✅ 【完成】tolan向量记忆提高 (https://www.notion.so/tolan-2f5670f5647980608914c6e1a6c99e56?pvs=21)",Yilun Sun
【功能3】实现两分钟规则（Two-Minute Rule）：新手初始难度设置,中,,对于新手，强制执行两分钟规则，优化启动延迟，例如不规划'阅读30分钟'而是'阅读一页',未开始,"记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21), 【重要】humanOS架构：基于行为工程学的习惯养成 Agent 设计策略 (https://www.notion.so/humanOS-Agent-2f1670f56479803a8db3ebc3704075b1?pvs=21)",Leo
【功能3】根据前一天执行情况重新设置第二天计划,高,,根据前一天的执行情况和记忆数据，动态调整并重新设置第二天的计划,未开始,记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21),Leo
【协作对接】与gxm对接功能1（执行意图编译器）的输出数据格式,高,,与gxm对接：确定功能1（执行意图编译器/onboarding）的输出数据格式，作为记忆模块的输入,未开始,【排功能】agent deliver功能分解大集合 (https://www.notion.so/agent-deliver-2f5670f56479807c9297fd3a8ea0cf56?pvs=21),Leo
【功能2】实现失败模式分析（Failure Pattern Recognition）,中,,定期分析向量数据库中的失败案例，提取失败模式（如特定时间段、特定触发因素）,未开始,"记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21), 【排功能】agent deliver功能分解大集合 (https://www.notion.so/agent-deliver-2f5670f56479807c9297fd3a8ea0cf56?pvs=21)",Leo
【补丁功能】实现Detective Mode：计算Surprise Score归因分析（中高优先级）,高,,【中高优先级补丁→改为高优先级】侦探模式：当用户未达标时不直接判定失败，而是启动归因分析。计算Surprise Score（实际行为与预测的偏差），抛出假设：'我发现你今天步数很少，是因为下午连续工作了5小时（日程数据）吗？或是因为今天下雨（天气数据）吗？'如果系统列出的客观原因都不成立，通过排除法让用户自己意识到'其实我就是不想动'。这是对你的失败模式分析的升级版本。,未开始,【补丁】动态难度agent规划层补丁 (https://www.notion.so/agent-2f4670f5647980d1b3b2eac556e46729?pvs=21),Leo
【协作对接】与fanqi对接功能4（反思交互）获取用户反馈数据,高,,与fanqi对接：确定功能4（反思交互/指差确认）如何传递用户反馈数据给记忆系统,未开始,"【排功能】agent deliver功能分解大集合 (https://www.notion.so/agent-deliver-2f5670f56479807c9297fd3a8ea0cf56?pvs=21), 【补丁】责任的认知架构：通过人工智能介导的反思弥合预测误差与行为干预 (https://www.notion.so/2f2670f56479800b9b09eac389d78646?pvs=21)",Leo
【功能2】记录行为过程数据（是否挂断电话、挂断时间、挂断时压力值等）,高,,记录用户行为过程中的数据，如是否挂断电话、什么时候挂断、挂断时的压力值等行为元数据,未开始,记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21),Leo
【补丁功能】Verifier层增加假设提问而非武断判定（中优先级）,高,,【中优先级补丁→改为高优先级】Verifier层改进：不要过于武断地判定。当AI说'我猜可能是因为这个，对吗？'而不是'你肯定是因为这个'时，用户更信任AI。Propose a hypothesis（提出假设）并允许用户修正，而不是Assert a fact（断言事实）。避免传感器误判（如用户用手机回紧急邮件被判定为玩手机）引发的反感。让Verifier显得不像'监工'，而像'助手'。这直接影响你的行为验证功能的用户体验。,未开始,【补丁】动态难度agent规划层补丁 (https://www.notion.so/agent-2f4670f5647980d1b3b2eac556e46729?pvs=21),Leo
【功能3】实现动态难度调整算法（DDA）,高,,实现动态难度调整算法（DDA），但需要整合补丁思路：在失败前就预防性调整（舒适区），而不只是失败后降级。需要结合用户状态（睡眠、日程、天气等上下文数据）来动态调整任务难度，保持在金发女孩准则的适中区间。补丁建议：检测到用户昨晚通宵→进入KRIYA模式（宽容、降级目标）；检测到用户状态满格→进入humanOS模式（严格执行、强力干预）。,未开始,"记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21), 【排功能】agent deliver功能分解大集合 (https://www.notion.so/agent-deliver-2f5670f56479807c9297fd3a8ea0cf56?pvs=21)",Leo
